,rn,iteration
695,"('R10079', 'forward')",1
696,"('R02782', 'reverse')",1
697,"('R00725', 'forward')",1
698,"('R01600', 'reverse')",1
699,"('R03122', 'forward')",1
700,"('R01444', 'reverse')",1
701,"('R04531', 'forward')",1
702,"('R05764', 'forward')",1
703,"('R08570', 'reverse')",1
704,"('R01103', 'reverse')",1
705,"('R00428', 'reverse')",1
706,"('R00262', 'reverse')",1
707,"('R02372', 'reverse')",1
708,"('R01823', 'forward')",1
709,"('R01050', 'forward')",1
710,"('R04320', 'reverse')",1
711,"('R07306', 'reverse')",1
712,"('R08633', 'forward')",1
713,"('R00434', 'reverse')",1
714,"('R01805', 'forward')",1
715,"('R01788', 'forward')",1
716,"('R03504', 'reverse')",1
717,"('R00724', 'forward')",1
718,"('R01330', 'forward')",1
719,"('R00188', 'reverse')",1
720,"('R01678', 'reverse')",1
721,"('R07917', 'reverse')",1
722,"('R09780', 'reverse')",1
723,"('R08200', 'forward')",1
724,"('R00669', 'reverse')",1
725,"('R00430', 'forward')",1
726,"('R07127', 'forward')",1
727,"('R00806', 'reverse')",1
728,"('R01286', 'reverse')",1
729,"('R01206', 'reverse')",1
730,"('R02147', 'reverse')",1
731,"('R07394', 'reverse')",1
732,"('R07672', 'reverse')",1
733,"('R08614', 'forward')",1
734,"('R01476', 'forward')",1
735,"('R06868', 'forward')",1
736,"('R01639', 'forward')",1
737,"('R01884', 'reverse')",1
738,"('R00339', 'reverse')",1
739,"('R01824', 'forward')",1
740,"('R01883', 'forward')",1
741,"('R02035', 'reverse')",1
742,"('R09945', 'forward')",1
743,"('R03819', 'forward')",1
744,"('R03116', 'forward')",1
745,"('R05806', 'reverse')",1
746,"('R01964', 'forward')",1
747,"('R01287', 'forward')",1
748,"('R10462', 'reverse')",1
749,"('R03077', 'forward')",1
750,"('R01433', 'forward')",1
751,"('R02145', 'reverse')",1
752,"('R01676', 'reverse')",1
753,"('R00193', 'forward')",1
754,"('R09660', 'reverse')",1
755,"('R01101', 'reverse')",1
756,"('R01881', 'forward')",1
757,"('R04168', 'reverse')",1
758,"('R00810', 'forward')",1
759,"('R08575', 'reverse')",1
760,"('R00179', 'forward')",1
761,"('R02557', 'reverse')",1
762,"('R02601', 'forward')",1
763,"('R03084', 'forward')",1
764,"('R09768', 'reverse')",1
765,"('R01153', 'forward')",1
766,"('R00442', 'reverse')",1
767,"('R00866', 'reverse')",1
768,"('R08635', 'forward')",1
769,"('R01066', 'forward')",1
770,"('R00584', 'forward')",1
771,"('R00566', 'forward')",1
772,"('R09082', 'forward')",1
773,"('R04780', 'forward')",1
774,"('R05645', 'forward')",1
775,"('R02334', 'forward')",1
776,"('R07243', 'forward')",1
777,"('R00024', 'forward')",1
778,"('R00480', 'reverse')",1
779,"('R03538', 'forward')",1
780,"('R01845', 'forward')",1
781,"('R03996', 'forward')",1
782,"('R00315', 'forward')",1
783,"('R02727', 'reverse')",1
784,"('R01771', 'forward')",1
