,ec,cofactor,rn
513,1.18.1.3,fes_2Fe_2S,R05263
514,1.18.1.3,fes_2Fe_2S,R05264
515,1.18.1.3,fes_2Fe_2S,R05266
516,1.18.1.3,fes_2Fe_2S,R05288
517,1.18.1.3,fes_2Fe_2S,R05442
518,1.18.1.3,fes_2Fe_2S,R05443
519,1.18.1.3,fes_2Fe_2S,R05666
520,1.18.1.3,fes_2Fe_2S,R05875
521,1.18.1.3,fes_2Fe_2S,R06782
522,1.18.1.3,fes_2Fe_2S,R06783
523,1.18.1.3,fes_2Fe_2S,R09151
524,1.18.1.3,fes_2Fe_2S,R09152
525,1.18.1.3,fes_2Fe_2S,R09227
526,1.18.1.3,fes_2Fe_2S,R09513
527,1.18.1.3,fes_4Fe_4S,R02000
528,1.18.1.3,fes_4Fe_4S,R02550
529,1.18.1.3,fes_4Fe_4S,R03543
530,1.18.1.3,fes_4Fe_4S,R03559
531,1.18.1.3,fes_4Fe_4S,R03562
532,1.18.1.3,fes_4Fe_4S,R05247
533,1.18.1.3,fes_4Fe_4S,R05261
534,1.18.1.3,fes_4Fe_4S,R05262
535,1.18.1.3,fes_4Fe_4S,R05263
536,1.18.1.3,fes_4Fe_4S,R05264
537,1.18.1.3,fes_4Fe_4S,R05266
538,1.18.1.3,fes_4Fe_4S,R05288
539,1.18.1.3,fes_4Fe_4S,R05442
540,1.18.1.3,fes_4Fe_4S,R05443
541,1.18.1.3,fes_4Fe_4S,R05666
542,1.18.1.3,fes_4Fe_4S,R05875
543,1.18.1.3,fes_4Fe_4S,R06782
544,1.18.1.3,fes_4Fe_4S,R06783
545,1.18.1.3,fes_4Fe_4S,R09151
546,1.18.1.3,fes_4Fe_4S,R09152
547,1.18.1.3,fes_4Fe_4S,R09227
548,1.18.1.3,fes_4Fe_4S,R09513
549,1.18.1.5,fes_2Fe_2S,R03818
550,1.18.1.5,fes_2Fe_2S,R10048
551,1.18.1.7,fes_2Fe_2S,R02968
552,1.18.1.7,fes_2Fe_2S,R05422
553,1.18.1.7,fes_2Fe_2S,R05423
554,1.18.1.7,fes_2Fe_2S,R05424
555,1.18.1.7,fes_2Fe_2S,R05425
556,1.18.1.7,fes_2Fe_2S,R05426
557,1.18.1.7,fes_2Fe_2S,R05427
558,1.18.1.7,fes_2Fe_2S,R06909
559,1.18.1.7,fes_2Fe_2S,R06930
560,1.18.1.7,fes_2Fe_2S,R06937
